影片名,上映年代,票房（万元）,,
捉妖记,2015,243425.84,,
长城,2016,195837.21,,
港囧,2015,161074.54,,
夏洛特烦恼,2015,144393.43,,
寻龙诀,2015,135876.93,,
湄公河行动,2016,121800.86,,
西游记之孙悟空三打白骨精,2016,120100.34,,
心花路放,2014,117002.32,,
煎饼侠,2015,115804.72,,
澳门风云Ⅲ,2016,111816.14,,
西游记之大闹天宫,2014,104559.91,,
盗墓笔记,2016,100413.5,,
澳门风云II,2015,97349.6,,
我不是潘金莲,2016,96696.84,,
西游记之大圣归来,2015,95463.51,,
绝地逃亡,2016,88932.44,,
铁道飞虎,2016,85793.73,,
从你的全世界路过,2016,81735,,
摆渡人,2016,81272.76,,
北京遇上西雅图之不二情书,2016,78723.29,,
天将雄师,2015,74299.69,,
爸爸去哪儿,2014,69639.27,,
九层妖塔,2015,68124.44,,
寒战2,2016,67813.97,,
分手大师,2014,66540.87,,
后会无期,2014,62881.57,,
使徒行者,2016,60605.98,,
恶棍天使,2015,59099.31,,
匆匆那年,2014,58162.09,,
大鱼海棠,2016,56512.67,,
杀破狼2,2015,55918.68,,
小时代3：刺金时代,2014,52156.09,,
滚蛋吧！肿瘤君,2015,51006.55,,
一步之遥,2014,49195.18,,
小时代4：灵魂尽头,2015,48764.79,,
左耳,2015,48463.29,,
老炮儿,2015,46360,,
同桌的你,2014,45573.83,,
智取威虎山,2014,45525.29,,
奔跑吧兄弟,2015,43349.84,,
京城81号,2014,41184.06,,
百团大战,2015,41120.05,,
钟馗伏魔：雪妖魔灵,2015,40842.1,,
道士下山,2015,39999.65,,
爵迹,2016,38416.54,,
栀子花开2015,2015,37824.99,,
火锅英雄,2016,37054.07,,
大话西游3,2016,37008.01,,
我的少女时代,2015,36500.2,,
何以笙箫默,2015,35307.09,,
亲爱的,2014,34468.52,,
致青春·原来你还在这里,2016,33662.24,,
我的特工爷爷,2016,32443.63,,
横冲直撞好莱坞,2015,32168.51,,
万万没想到,2015,31906.56,,
窃听风云3,2014,30823.11,,
烈日灼心,2015,30421.4,,
熊出没之雪岭熊风,2015,29494.58,,
归来,2014,29146.59,,
咱们结婚吧,2015,28425.31,,
封神传奇,2016,28389.01,,
有一个地方只有我们知道,2015,28308.3,,
微微一笑很倾城,2016,27549.7,,
催眠大师,2014,27386.7,,
驴得水,2016,26352.31,,
王牌逗王牌,2016,26025.17,,
28岁未成年,2016,25860.15,,
前任2：备胎反击战,2015,25744.98,,
我是证人,2015,23085.02,,
罗曼蒂克消亡史,2016,23048.94,,
撒娇女人最好命,2014,23024.16,,
一生一世,2014,22852.26,,
爸爸去哪儿2,2015,22309.47,,
情圣,2016,21683.07,,
赏金猎人,2016,21343.62,,
赤道,2015,20949.68,,
反贪风暴2,2016,20907.77,,
老男孩猛龙过江,2014,20887.65,,
闺蜜,2014,20462.72,,
痞子英雄：黎明升起,2014,20433.1,,
三少爷的剑,2016,20049.72,,
单身男女II,2014,19862.64,,
微爱之渐入佳境,2014,19629.53,,
解救吾先生,2015,19560.5,,
太平轮（上）,2014,19540.84,,
四大名捕大结局,2014,19234,,
陆垚知马俐,2016,19203.41,,
黄飞鸿之英雄有梦,2014,18362.47,,
谁的青春不迷茫,2016,17989.52,,
新娘大作战,2015,17302.28,,
危城,2016,16732.29,,
七月与安生,2016,16695.48,,
卧虎藏龙：青冥宝剑,2016,16234.8,,
我的早更女友,2014,16116.35,,
夏有乔木 雅望天堂,2016,16081.05,,
怦然星动,2015,15906.04,,
冲上云霄,2015,15617.71,,
谜城,2015,14862.73,,
万物生长,2015,14821,,
破风,2015,14510.19,,
冰封：重生之门,2014,14269.48,,
捉迷藏,2016,14243.53,,
唐人街·探案,2015,13799.93,,
追凶者也,2016,13590.22,,
