name	regLocation	regCapital	industry	businessScope
神骊影视制作有限公司	北京市朝阳区工人体育场北路甲6号中宇大厦23层2703室	5000 万元 人民币	广播、电视、电影和影视录音制作业	制作，发行动画片、专题片、电视综艺，不得制作时政新闻及同类专题、专栏等广播电视节目（广播电视节目制作经营许可证有效期至2017年06月03日）；摄制电影许可证（单片）有效期至2016年7月21日；电脑图文设计；会议及展览服务；组织文化艺术交流活动（不含演出）；设计、制作、代理、发布广告；经济贸易咨询；摄影服务；租赁摄影器材、舞台灯光音响设备。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京中关美嘉欢乐影城有限公司朝阳分公司	北京市朝阳区三里屯路19号B1	None	广播、电视、电影和影视录音制作业	经营电影放映业务;向来本影城消费的客人零售定型包装食品含乳冷食品；向来本影城消费的客人零售工艺美术品和日用百货（涉及配额许可证管理、专项规定管理的商品按照国家有关规定办理）。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京万达电影发行有限公司	北京市朝阳区建国路93号院12号楼4层502	500 万元	广播、电视、电影和影视录音制作业	国产电影发行（电影发行经营许可证有效期至2015年8月15日）；组织文化艺术交流（不含演出）；影视策划；设计、制作、代理、发布广告；展览服务；摄影服务；市场调查；租赁摄影器材。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
金视盾影音制作有限公司	北京市丰台区大成里(青塔)小区G区西组团商业楼202室	5000 万元	广播、电视、电影和影视录音制作业	制作、发行动画片、电视综艺、专题片。
中影今典数字影院投资有限公司	北京市海淀区新街口外大街25号宾馆写字楼209-210室	13275 万元	广播、电视、电影和影视录音制作业	数字影院的投资；数字影院数据传输系统的开发与建设；数字影院的技术开发、技术咨询、技术服务、技术培训。（1、不得以公开方式募集资金；2、不得公开交易证券类产品和金融衍生品；3、不得发放贷款；4、不得向所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京东山洵美文化传媒有限公司	北京市海淀区创业中路32号楼32-1-1-462	300 万元 人民币	广播、电视、电影和影视录音制作业	组织文化艺术交流活动；设计、制作、代理、发布广告；会议服务；企业策划；经济贸易咨询；投资管理、投资咨询；影视策划。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
北京东亿天弘影视文化有限公司	北京市朝阳区高碑店乡高井村传媒文化园区8号	2000 万元 人民币	广播、电视、电影和影视录音制作业	制作，发行动画片、专题片、电视综艺，不得制作时政新闻及同类专题、专栏等广播电视节目（广播电视节目制作经营许可证有效期至2014年11月26日）；组织文化艺术交流活动（不含演出）；承办展览展示活动；影视策划；经济贸易咨询；设计、制作、代理、发布广告；会议服务；翻译服务；租赁影视器材、演出服装、舞台灯光音响设备。
北京轩艺阁数字影像科技有限公司	北京市丰台区马家堡西里2号楼1幢307室	10 万元 人民币	广播、电视、电影和影视录音制作业	技术开发、技术服务；动画设计；广告设计、制作；承办展览展示。
北京九州风华影视投资有限公司	北京市西城区金融大街35号1号楼10层1043室	5200 万元 人民币	广播、电视、电影和影视录音制作业	项目投资；影视策划；设计、制作、代理、发布广告；广播电视节目制作；电影摄制；电影发行。（“1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益” ；广播电视节目制作、电影发行、电影摄制以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京博纳星光影院管理有限公司	北京市东城区东直门南大街14号保利大厦办公楼18层1866室	10000 万元 人民币	广播、电视、电影和影视录音制作业	影院管理；组织文化艺术交流；承办展览展示；投资管理；制作、代理、发布广告；会议服务；经济信息咨询。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
